full_name,brand_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Maruti Alto Std,Maruti,1.2 Lakh*,null,2012,Individual,"1,20,000 kms",First Owner,Petrol,Manual,Mileage19.7 kmpl,Engine796 CC,Max Power46.3 bhp,Seats5
Hyundai Grand i10 Asta,Hyundai,5.5 Lakh*,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,2016,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
Hyundai i20 Asta,Hyundai,2.15 Lakh*,null,2010,Individual,"60,000 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1197 CC,Max Power80 bhp,Seats5
Maruti Alto K10 2010-2014 VXI,Maruti,2.26 Lakh*,null,2012,Individual,"37,000 kms",First Owner,Petrol,Manual,Mileage20.92 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,Ford,5.7 Lakh*,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2015,Dealer,"30,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Seats5
Maruti Wagon R VXI BS IV,Maruti,3.5 Lakh*,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2013,Individual,"35,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
Hyundai i10 Sportz 1.2,Hyundai,3.15 Lakh*,New Car (On-Road Price) : Rs.6.54-6.63 Lakh*,2013,Dealer,"40,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Seats5
Maruti Wagon R VXI,Maruti,4.1 Lakh*,New Car (On-Road Price) : Rs.5.26-7.01 Lakh*,2018,Dealer,"17,512 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
Hyundai Venue SX Plus Turbo DCT BSIV,Hyundai,10.5 Lakh*,New Car (On-Road Price) : Rs.7.70-13.02 Lakh*,2019,Individual,"20,000 kms",First Owner,Petrol,Automatic,Mileage18.15 kmpl,Engine998 CC,Max Power118.35 bhp,Seats5
Mahindra TUV 300 T6,Mahindra,5.75 Lakh*,null,2017,Dealer,"70,000 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Seats7
Tata Indigo LX (TDI) BS-III,Tata,3.05 Lakh*,null,2015,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage19.09 kmpl,Engine1405 CC,Max Power69.01 bhp,Seats5
Renault Captur Platine Dual Tone Diesel,Renault,11.5 Lakh*,null,2019,Individual,"18,000 kms",First Owner,Diesel,Manual,Mileage20.37 kmpl,Engine1461 CC,Max Power108.49 bhp,Seats5
Maruti Swift VXI with ABS,Maruti,5.11 Lakh*,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2017,Dealer,"28,321 kms",First Owner,Petrol,Manual,Mileage16.6 kmpl,Engine1197 CC,Max Power85 bhp,Seats5
Nissan Micra XL CVT,Nissan,4.1 Lakh*,null,2016,Dealer,"27,000 kms",First Owner,Petrol,Automatic,Mileage19.34 kmpl,Engine1198 CC,Max Power76 bhp,Seats5
Hyundai Verna 1.6 SX,Hyundai,4.25 Lakh*,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2013,Dealer,"65,278 kms",First Owner,Diesel,Manual,Mileage22.32 kmpl,Engine1582 CC,Max Power126.32 bhp,Seats5
Renault Duster 110PS Diesel RxL Explore,Renault,7.5 Lakh*,null,2016,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage19.64 kmpl,Engine1461 CC,Max Power108.45 bhp,Seats5
Mini Cooper Cooper S,Mini Cooper,32.5 Lakh*,null,2017,Dealer,"6,000 kms",First Owner,Petrol,Automatic,Mileage14.41 kmpl,Engine1998 CC,Max Power189.08 bhp,Seats5
Maruti Ciaz ZDi Plus SHVS,Maruti,6.5 Lakh*,null,2016,Dealer,"76,000 kms",First Owner,Diesel,Manual,Mileage28.09 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
Maruti Swift VDI BSIV,Maruti,6.27 Lakh*,null,2016,Individual,"20,000 kms",First Owner,Diesel,Manual,Mileage25.2 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes-Benz,14.25 Lakh*,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,2014,Dealer,"65,000 kms",First Owner,Diesel,Automatic,Mileage19.27 kmpl,Engine2143 CC,Max Power170 bhp,Seats5
Maruti Swift VDI,Maruti,4.25 Lakh*,null,2014,Dealer,"62,200 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Toyota Innova 2.5 GX (Diesel) 8 Seater,Toyota,6.05 Lakh*,null,2013,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
Maruti Baleno Zeta 1.2,Maruti,6 Lakh*,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2015,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
Maruti Swift Dzire VXI,Maruti,5.75 Lakh*,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Seats5
Fiat Grande Punto 1.3 Emotion Pack (Diesel),Fiat,2.6 Lakh*,null,2012,Individual,"97,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Power76 bhp,Seats5
Volkswagen Vento 1.6 Comfortline BSIV,Volkswagen,4.25 Lakh*,New Car (On-Road Price) : Rs.10.12-16.08 Lakh*,2013,Dealer,"47,000 kms",First Owner,Petrol,Manual,Mileage16.09 kmpl,Engine1598 CC,Max Power103.2 bhp,Seats5
Maruti Alto K10 2010-2014 VXI,Maruti,2.3 Lakh*,null,2013,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage20.92 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
Hyundai Creta 1.6 CRDi SX,Hyundai,12.25 Lakh*,New Car (On-Road Price) : Rs.10.95-18.30 Lakh*,2019,Individual,"15,000 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
Mahindra Xylo H9,Mahindra,3.75 Lakh*,null,2010,Dealer,"56,823 kms",First Owner,Diesel,Manual,Mileage14.02 kmpl,Engine2179 CC,Max Power118.3 bhp,Seats8
Honda City i VTEC VX,Honda,7.5 Lakh*,New Car (On-Road Price) : Rs.12.36-16.57 Lakh*,2015,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage17.4 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats5
Mahindra Bolero SLE BSIII,Mahindra,3.5 Lakh*,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,2011,Individual,"25,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Seats7
Maruti Swift Dzire VDI,Maruti,6 Lakh*,null,2015,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Maruti Swift Dzire LDI,Maruti,3.9 Lakh*,null,2013,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Honda City 2017-2020 GXi,Honda,1.45 Lakh*,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2007,Dealer,"77,253 kms",First Owner,Petrol,Manual,Mileage17.7 kmpl,Engine1497 CC,Max Power78 bhp,Seats5
Hyundai i20 Active 1.2 SX,Hyundai,7 Lakh*,null,2018,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage17.19 kmpl,Engine1197 CC,Max Power81.86 bhp,Seats5
Toyota Fortuner 4x2 Manual,Toyota,11.5 Lakh*,New Car (On-Road Price) : Rs.37.47-43.30 Lakh*,2013,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage13.0 kmpl,Engine2982 CC,Max Power168.5 bhp,Seats7
Renault KWID Climber 1.0 MT,Renault,3.4 Lakh*,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,2017,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage23.01 kmpl,Engine999 CC,Max Power67 bhp,Seats5
Honda Amaze S Petrol,Honda,4.65 Lakh*,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,2016,Dealer,"39,993 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1199 CC,Max Power88.76 bhp,Seats5
Hyundai Santro Xing GLS,Hyundai,1.25 Lakh*,null,2009,Individual,"80,000 kms",First Owner,Petrol,Manual,Mileage17.92 kmpl,Engine1086 CC,Max Power62.1 bhp,Seats5
Mahindra XUV500 W8 2WD,Mahindra,6 Lakh*,New Car (On-Road Price) : Rs.16.59-23.36 Lakh*,2012,Individual,"1,85,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Seats7
Maruti Swift Dzire VDI,Maruti,3.8 Lakh*,null,2013,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage23.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Mahindra Xylo E8,Mahindra,4 Lakh*,null,2009,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Seats8
Chevrolet Sail 1.3 Base,Chevrolet,3 Lakh*,null,2014,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage22.1 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Hyundai Xcent 1.2 Kappa SX,Hyundai,5 Lakh*,null,2015,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage19.1 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
Hyundai i20 1.4 Asta Option,Hyundai,8.5 Lakh*,null,2018,Individual,"15,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
Hyundai i20 1.2 Magna Executive,Hyundai,5.98 Lakh*,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,2018,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
Honda City i VTEC CVT SV,Honda,7 Lakh*,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2015,Dealer,"31,180 kms",First Owner,Petrol,Automatic,Mileage18.0 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats5
Mahindra TUV 300 mHAWK100 T8 AMT,Mahindra,9 Lakh*,null,2018,Individual,"40,000 kms",First Owner,Diesel,Automatic,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Seats7
Maruti 800 Std,Maruti,"75,000*",null,2004,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage16.1 kmpl,Engine796 CC,Max Power37 bhp,Seats4
Tata Indigo LS TDI BSIII,Tata,3 Lakh*,null,2015,Individual,"58,000 kms",First Owner,Diesel,Manual,Mileage19.09 kmpl,Engine1396 CC,Max Power69 bhp,Seats5
Maruti Swift Dzire ZDI,Maruti,4.1 Lakh*,null,2014,Dealer,"56,000 kms",First Owner,Diesel,Manual,Mileage23.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),Fiat,3 Lakh*,null,2011,Individual,"93,000 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1248 CC,Max Power91.7 bhp,Seats5
