full_name,brand_name,year,seller_type,owner_type,fuel_type,transmission_type,original_price,SP,mileage_cars(kmpl),engine_cc,maxx_power,Kmeter_driven,seat
Hyundai Grand i10 Asta,Hyundai,2016,Individual,First Owner,Petrol,Manual,7.48,5.5,18.9,1197,82,20000,5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,Ford,2015,Dealer,First Owner,Diesel,Manual,13.79,5.7,22.77,1498,98.59,30000,5
Maruti Wagon R VXI BS IV,Maruti,2013,Individual,First Owner,Petrol,Manual,6.94,3.5,18.9,998,67.1,35000,5
Hyundai i10 Sportz 1.2,Hyundai,2013,Dealer,First Owner,Petrol,Manual,6.63,3.15,20.36,1197,78.9,40000,5
Maruti Wagon R VXI,Maruti,2018,Dealer,First Owner,Petrol,Manual,7.01,4.1,20.51,998,67.04,17512,5
Hyundai Venue SX Plus Turbo DCT BSIV,Hyundai,2019,Individual,First Owner,Petrol,Automatic,13.02,10.5,18.15,998,118.35,20000,5
Maruti Swift VXI with ABS,Maruti,2017,Dealer,First Owner,Petrol,Manual,9.27,5.11,16.6,1197,85,28321,5
Hyundai Verna 1.6 SX,Hyundai,2013,Dealer,First Owner,Diesel,Manual,18.29,4.25,22.32,1582,126.32,65278,5
Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes-Benz,2014,Dealer,First Owner,Diesel,Automatic,64.08,14.25,19.27,2143,170,65000,5
Maruti Baleno Zeta 1.2,Maruti,2015,Individual,First Owner,Petrol,Manual,10.54,6,21.4,1197,83.1,20000,5
Maruti Swift Dzire VXI,Maruti,2016,Individual,First Owner,Petrol,Manual,10.4,5.75,20.85,1197,83.14,40000,5
Volkswagen Vento 1.6 Comfortline BSIV,Volkswagen,2013,Dealer,First Owner,Petrol,Manual,16.08,4.25,16.09,1598,103.2,47000,5
Hyundai Creta 1.6 CRDi SX,Hyundai,2019,Individual,First Owner,Diesel,Manual,18.3,12.25,19.67,1582,126.2,15000,5
Honda City i VTEC VX,Honda,2015,Individual,First Owner,Petrol,Manual,16.57,7.5,17.4,1497,117.3,50000,5
Mahindra Bolero SLE BSIII,Mahindra,2011,Individual,First Owner,Diesel,Manual,10.69,3.5,13.6,2523,63,25000,7
Honda City 2017-2020 GXi,Honda,2007,Dealer,First Owner,Petrol,Manual,16.8,1.45,17.7,1497,78,77253,5
Toyota Fortuner 4x2 Manual,Toyota,2013,Individual,First Owner,Diesel,Manual,43.3,11.5,13,2982,168.5,110000,7
Renault KWID Climber 1.0 MT,Renault,2017,Individual,First Owner,Petrol,Manual,6.29,3.4,23.01,999,67,30000,5
Honda Amaze S Petrol,Honda,2016,Dealer,First Owner,Petrol,Manual,9.9,4.65,18.6,1199,88.76,39993,5
Mahindra XUV500 W8 2WD,Mahindra,2012,Individual,First Owner,Diesel,Manual,23.36,6,15.1,2179,140,185000,7
Hyundai i20 1.2 Magna Executive,Hyundai,2018,Individual,First Owner,Petrol,Manual,12.66,5.98,18.6,1197,81.83,40000,5
Honda City i VTEC CVT SV,Honda,2015,Dealer,First Owner,Petrol,Automatic,16.8,7,18,1497,117.3,31180,5
Maruti Baleno Zeta Automatic,Maruti,2016,Dealer,First Owner,Petrol,Automatic,10.42,5.9,21.4,1197,83.1,52427,5
Mahindra Bolero B6,Mahindra,2020,Individual,First Owner,Diesel,Manual,10.47,8.5,21,1498,74.96,40000,7
